question,answer
Tôi muốn gặp bác sĩ chuyên về viêm gan,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Răng Hàm Mặt.
Bệnh viện có khoa Tim mạch không?,"Có, bệnh viện có chuyên khoa Tim mạch."
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tim mạch để được bác sĩ thăm khám.
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị ngứa, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tai Mũi Họng để được bác sĩ thăm khám.
"Tôi bị phát ban, ho, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Nội không?,"Có, bệnh viện có chuyên khoa Nội."
Tôi có thể đặt lịch khám Sản ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Sản qua website hoặc tổng đài.
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Khoa Phục hồi chức năng làm việc khi nào?,"Khoa Phục hồi chức năng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Mắt là bao nhiêu?,Chi phí khám ở khoa Mắt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị ho, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng đau lưng có nguy hiểm không?,Triệu chứng đau lưng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
"Tôi bị đau họng, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về cao huyết áp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Sản.
Triệu chứng đau bụng có nguy hiểm không?,Triệu chứng đau bụng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau mắt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Cơ xương khớp để được bác sĩ thăm khám.
"Tôi bị đau mắt, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị đau bụng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Da liễu để được bác sĩ thăm khám.
Tôi cần tư vấn về suy tim,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về suy tim.
"Tôi bị đau bụng, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về cao huyết áp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Da liễu.
Triệu chứng ngứa có nguy hiểm không?,Triệu chứng ngứa có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Tôi cần tư vấn về đau thần kinh tọa,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau thần kinh tọa.
Tôi cần tư vấn về suy tim,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về suy tim.
Khoa Da liễu làm việc khi nào?,"Khoa Da liễu làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau mắt, tiêu chảy, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng đau ngực có nguy hiểm không?,Triệu chứng đau ngực có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi muốn gặp bác sĩ chuyên về viêm gan,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Sản.
"Tôi bị khó thở, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
Tôi có thể đặt lịch khám Y học cổ truyền ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Y học cổ truyền qua website hoặc tổng đài.
Triệu chứng ngứa có nguy hiểm không?,Triệu chứng ngứa có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi cần tư vấn về suy tim,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về suy tim.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
"Tôi bị đau họng, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Giá khám ở khoa Cơ xương khớp là bao nhiêu?,Chi phí khám ở khoa Cơ xương khớp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi có thể đặt lịch khám Phục hồi chức năng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Phục hồi chức năng qua website hoặc tổng đài.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Nhi.
"Tôi bị đau khớp, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nhi để được bác sĩ thăm khám.
"Tôi bị chán ăn, mệt mỏi, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi có thể đặt lịch khám Y học cổ truyền ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Y học cổ truyền qua website hoặc tổng đài.
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
Tôi có thể đặt lịch khám Phục hồi chức năng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Phục hồi chức năng qua website hoặc tổng đài.
"Tôi bị đau ngực, sụt cân, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Răng Hàm Mặt làm việc khi nào?,"Khoa Răng Hàm Mặt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
"Tôi bị khó thở, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tiêu hóa để được bác sĩ thăm khám.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Răng Hàm Mặt.
"Tôi bị đau bụng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Da liễu để được bác sĩ thăm khám.
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nhi để được bác sĩ thăm khám.
Khoa Răng Hàm Mặt làm việc khi nào?,"Khoa Răng Hàm Mặt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng ho có nguy hiểm không?,Triệu chứng ho có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
Tôi có thể đặt lịch khám Tim mạch ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tim mạch qua website hoặc tổng đài.
"Tôi bị buồn nôn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Mắt để được bác sĩ thăm khám.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Mắt là bao nhiêu?,Chi phí khám ở khoa Mắt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị mệt mỏi, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Tôi cần tư vấn về viêm phổi,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm phổi.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
"Tôi bị ngứa, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về đau thần kinh tọa,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau thần kinh tọa.
Bệnh viện có khoa Thần kinh không?,"Có, bệnh viện có chuyên khoa Thần kinh."
"Tôi bị đau bụng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
"Tôi bị mẩn đỏ, chán ăn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
"Tôi bị đau ngực, buồn nôn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị chóng mặt, đau mắt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Cơ xương khớp không?,"Có, bệnh viện có chuyên khoa Cơ xương khớp."
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
Giá khám ở khoa Răng Hàm Mặt là bao nhiêu?,Chi phí khám ở khoa Răng Hàm Mặt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Tôi cần tư vấn về viêm phổi,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm phổi.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Tôi có thể đặt lịch khám Ngoại ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Ngoại qua website hoặc tổng đài.
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
Triệu chứng sụt cân có nguy hiểm không?,Triệu chứng sụt cân có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Ngoại làm việc khi nào?,"Khoa Ngoại làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng sốt có nguy hiểm không?,Triệu chứng sốt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau đầu, sụt cân, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Giá khám ở khoa Thần kinh là bao nhiêu?,Chi phí khám ở khoa Thần kinh phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
Triệu chứng đau bụng có nguy hiểm không?,Triệu chứng đau bụng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Nội ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nội qua website hoặc tổng đài.
Giá khám ở khoa Tai Mũi Họng là bao nhiêu?,Chi phí khám ở khoa Tai Mũi Họng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
Bệnh viện có khoa Thần kinh không?,"Có, bệnh viện có chuyên khoa Thần kinh."
Giá khám ở khoa Răng Hàm Mặt là bao nhiêu?,Chi phí khám ở khoa Răng Hàm Mặt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi có thể đặt lịch khám Tim mạch ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tim mạch qua website hoặc tổng đài.
"Tôi bị ngứa, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng đau bụng có nguy hiểm không?,Triệu chứng đau bụng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Giá khám ở khoa Thần kinh là bao nhiêu?,Chi phí khám ở khoa Thần kinh phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau lưng, đau khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Mắt không?,"Có, bệnh viện có chuyên khoa Mắt."
Tôi có thể đặt lịch khám Da liễu ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Da liễu qua website hoặc tổng đài.
"Tôi bị mẩn đỏ, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Triệu chứng đau mắt có nguy hiểm không?,Triệu chứng đau mắt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Khoa Ngoại làm việc khi nào?,"Khoa Ngoại làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Phục hồi chức năng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Phục hồi chức năng qua website hoặc tổng đài.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Hô hấp là bao nhiêu?,Chi phí khám ở khoa Hô hấp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Mắt.
Khoa Răng Hàm Mặt làm việc khi nào?,"Khoa Răng Hàm Mặt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi muốn gặp bác sĩ chuyên về đau dạ dày,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Ngoại.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Giá khám ở khoa Phục hồi chức năng là bao nhiêu?,Chi phí khám ở khoa Phục hồi chức năng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
Triệu chứng đau ngực có nguy hiểm không?,Triệu chứng đau ngực có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Nội không?,"Có, bệnh viện có chuyên khoa Nội."
"Tôi bị đau họng, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi có thể đặt lịch khám Sản ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Sản qua website hoặc tổng đài.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Giá khám ở khoa Tim mạch là bao nhiêu?,Chi phí khám ở khoa Tim mạch phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Y học cổ truyền.
Giá khám ở khoa Hô hấp là bao nhiêu?,Chi phí khám ở khoa Hô hấp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng sưng khớp có nguy hiểm không?,Triệu chứng sưng khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Tai Mũi Họng không?,"Có, bệnh viện có chuyên khoa Tai Mũi Họng."
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Bệnh viện có khoa Da liễu không?,"Có, bệnh viện có chuyên khoa Da liễu."
Bệnh viện có khoa Da liễu không?,"Có, bệnh viện có chuyên khoa Da liễu."
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Khoa Thần kinh làm việc khi nào?,"Khoa Thần kinh làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ chụp X-quang có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ chụp X-quang."
Triệu chứng phát ban có nguy hiểm không?,Triệu chứng phát ban có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau họng, đau bụng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Răng Hàm Mặt.
Khoa Thần kinh làm việc khi nào?,"Khoa Thần kinh làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Bệnh viện có khoa Nhi không?,"Có, bệnh viện có chuyên khoa Nhi."
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
"Tôi bị đau mắt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
Giá khám ở khoa Sản là bao nhiêu?,Chi phí khám ở khoa Sản phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị mẩn đỏ, ngứa, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về cao huyết áp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Ngoại.
Tôi cần tư vấn về viêm phổi,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm phổi.
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
Bệnh viện có khoa Cơ xương khớp không?,"Có, bệnh viện có chuyên khoa Cơ xương khớp."
"Tôi bị buồn nôn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
"Tôi bị đau đầu, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Cơ xương khớp để được bác sĩ thăm khám.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
"Tôi bị chóng mặt, đau khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị mệt mỏi, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về đau dạ dày,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Nội.
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng sụt cân có nguy hiểm không?,Triệu chứng sụt cân có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Triệu chứng khó thở có nguy hiểm không?,Triệu chứng khó thở có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Giá khám ở khoa Hô hấp là bao nhiêu?,Chi phí khám ở khoa Hô hấp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
Khoa Da liễu làm việc khi nào?,"Khoa Da liễu làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Tiêu hóa không?,"Có, bệnh viện có chuyên khoa Tiêu hóa."
Tôi muốn gặp bác sĩ chuyên về viêm gan,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Cơ xương khớp.
"Tôi bị mẩn đỏ, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
"Tôi bị đau khớp, đau mắt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị sụt cân, mệt mỏi, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Ngoại làm việc khi nào?,"Khoa Ngoại làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Mắt làm việc khi nào?,"Khoa Mắt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị tiêu chảy, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nhi để được bác sĩ thăm khám.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
Tôi có thể đặt lịch khám Nội ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nội qua website hoặc tổng đài.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Bệnh viện có khoa Tim mạch không?,"Có, bệnh viện có chuyên khoa Tim mạch."
"Tôi bị khó thở, mệt mỏi, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
Tôi muốn gặp bác sĩ chuyên về viêm phổi,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Hô hấp.
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Da liễu.
Khoa Răng Hàm Mặt làm việc khi nào?,"Khoa Răng Hàm Mặt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Nội ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nội qua website hoặc tổng đài.
Khoa Ngoại làm việc khi nào?,"Khoa Ngoại làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng tiêu chảy có nguy hiểm không?,Triệu chứng tiêu chảy có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Giá khám ở khoa Tai Mũi Họng là bao nhiêu?,Chi phí khám ở khoa Tai Mũi Họng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
Giá khám ở khoa Hô hấp là bao nhiêu?,Chi phí khám ở khoa Hô hấp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về cao huyết áp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Răng Hàm Mặt.
Triệu chứng mệt mỏi có nguy hiểm không?,Triệu chứng mệt mỏi có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
"Tôi bị mệt mỏi, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Khoa Cơ xương khớp làm việc khi nào?,"Khoa Cơ xương khớp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Nội làm việc khi nào?,"Khoa Nội làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Khoa Cơ xương khớp làm việc khi nào?,"Khoa Cơ xương khớp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Thần kinh làm việc khi nào?,"Khoa Thần kinh làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi cần tư vấn về viêm da,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm da.
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Phục hồi chức năng làm việc khi nào?,"Khoa Phục hồi chức năng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
